Sample,CqH1,CqH2,CqH3,CqH4,CqH_CV,CqD1,CqD2,CqD3,CqD4,CqD_CV,CqC1,CqC2,CqC3,CqC4,CqC_CV,CqA1,CqA2,CqA3,CqA4,CqA_CV,CqH_avg,CqD_avg,CqC_avg,CqA_avg,CqH_scaled,CqD_scaled,CqC_scaled,CqA_scaled,SH_D,SH_C,SH_A,SH_T,%D,%C,%A
18.3,19.14,19,,,0.5191135258,25.69,26.69,,,2.699911345,40,40,,,0,40,40,,,0,19.07,26.19,40,40,19.07,26.19,38.77,40,0.2280362088,0.00000485780285,0.00001058493786,0.2280516515,0.999932284,0.00002130132721,0.0000464146512
18.4,19.73,19.45,,,1.010668192,26.23,25.68,,,1.498396184,40,40,,,0,40,40,,,0,19.59,25.955,40,40,19.59,25.955,38.77,40,0.3848411101,0.00000696587189,0.0000151783272,0.3848632543,0.9999424622,0.00001809960242,0.0000394382343
18.6,18.97,20.63,,,5.928268974,24.61,24.74,,,0.3725385271,40,40,,,0,38.43,36,,,4.617142223,19.8,24.675,40,37.215,19.8,24.675,38.77,37.215,1.08097625,0.000008057341706,0.0001210065134,1.081105314,0.9998806186,0.000007452874018,0.000111928516
19.2,24.2,24.29,,,0.2624855034,28.67,29.15,,,1.17402717,40,40,,,0,25.31,25.49,,,0.5010992938,24.245,28.91,40,25.4,24.245,28.91,38.77,25.4,1.250352456,0.0001754971681,9.496344849,10.7468728,0.1163457016,0.00001633006841,0.8836379684
19.4,19.95,19.01,,,3.412116911,29.9,31.46,,,3.595458209,40,40,,,0,25.58,25.76,,,0.495828674,19.48,30.68,40,25.67,19.48,30.68,38.77,25.67,0.01348346244,0.000006454493734,0.2896479432,0.3031378602,0.04447963852,0.00002129227187,0.9554990692
19.5,20.19,19.4,,,2.821997258,31.26,29.78,,,3.428958179,40,40,,,0,27.8,28.06,,,0.6582447659,19.795,30.52,40,27.93,19.795,30.52,38.77,27.93,0.01874091011,0.000008029465421,0.07522585065,0.09397479023,0.1994248678,0.00008544275972,0.8004896895
19.6,20.43,21.12,,,2.348513497,31.83,32.37,,,1.189525426,40,40,,,0,27.25,24.66,,,7.05608385,20.775,32.1,40,25.955,20.775,32.1,38.77,25.955,0.01236438958,0.0000158378428,0.583325208,0.5957054354,0.02075587839,0.00002658670184,0.9792175349
20.1,18.49,18.25,,,0.9238194202,30.09,29.26,,,1.977754434,23.48,24.1,,,1.842817168,32.62,29.63,,,6.792768757,18.37,29.675,23.79,31.125,18.37,29.675,22.56,31.125,0.01253699002,0.2266809991,0.003059204627,0.2422771937,0.05174647201,0.9356266497,0.01262687825
20.2,19.94,19.52,,,1.505245049,30.64,30.62,,,0.04617086394,28.39,28.61,,,0.5458368135,40,35.49,,,8.448937828,19.73,30.63,28.5,37.745,19.73,30.63,27.27,37.745,0.01660008946,0.02223128839,0.00007983452584,0.03891121238,0.4266145525,0.5713337374,0.002051710059
20.3,19.95,19.9,,,0.1774421032,30.51,32.06,,,3.50332591,25.31,25.38,,,0.1952948301,36.12,36.54,,,0.8174644869,19.925,31.285,25.345,36.33,19.925,31.285,24.115,36.33,0.01206803693,0.2266809991,0.0002436963605,0.2389927323,0.05049541385,0.9484849051,0.001019681051
