UniqueID,Site,Tag,Array,Genotype,FragID,TissueSampledT0,TissueSampledT24,T0_Status,T0_SA,T12_Status,T12_SA,T12_V,T12_Vhull,T12_IS,T15_Status,T15_SA,T15_V,T15_Vhull,T15_IS,T18_Status,T18_SA,T18_V,T18_Vhull,T18_IS,T24_Status,T24_SA,T24_V,T24_Vhull,T24_IS,T24_Dead,T24_TOD,T24_TOD_mod,T0_V,T0_IS
DL34,Dave's Ledge,34,1,AP13-XK,15,1,1,A,7.817,A,NA,NA,NA,NA,A,54.976894,3.550097,6.391778,2.841681,A,85.605423,3.158149,6.390358,3.232209,A,161.841782,4.271382,9.885403,5.614021,0,24,25,0,0
DL35,Dave's Ledge,35,1,AP14-5,9,1,1,A,8.423,A,75.886375,8.325679,22.820934,14.495255,A,109.368469,12.992393,33.170349,20.177956,A,159.552429,22.202589,54.278965,32.076376,A,291.353973,48.572262,134.756271,86.184009,0,24,25,0,0
DL36,Dave's Ledge,36,2,AP13-X7,11,0,1,A,7.899,A,53.830643,4.381505,8.850483,4.468978,A,69.159492,5.92007,11.407114,5.487044,A,100.682426,13.742972,21.150307,7.407335,A,178.154449,26.994398,44.120548,17.12615,0,24,25,0,0
DL37,Dave's Ledge,37,2,AP13-X5,10,0,1,A,5.865,A,NA,NA,NA,NA,A,50.861965,6.447599,13.240341,6.792742,A,88.871384,12.85013,30.526102,17.675972,A,157.418747,26.960443,67.653839,40.693396,0,24,25,0,0
DL38,Dave's Ledge,38,2,AP13-X9,10,0,1,A,6.54,A,52.376366,8.011946,14.539953,6.528007,A,70.564415,11.628506,22.214952,10.586446,A,102.421455,18.92779,36.791767,17.863977,A,209.730026,46.82243,100.312408,53.489978,0,24,25,0,0
DL39,Dave's Ledge,39,2,AP13-XK,11,0,0,A,7.469,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,6,6,0,0
DL40,Dave's Ledge,40,2,AP14-5,12,0,1,A,8.272,A,NA,NA,NA,NA,A,69.038963,6.184767,13.322798,7.138031,A,106.223007,16.875763,35.674118,18.798355,A,185.910217,32.35844,78.064545,45.706105,0,24,25,0,0
DL41,Dave's Ledge,41,3,AP13-X7,12,0,1,A,7.513,A,61.698193,11.628128,22.492218,10.86409,A,88.200554,16.718645,37.436024,20.717379,A,107.337227,24.878332,56.977715,32.099383,A,167.69458,43.784927,95.052879,51.267952,0,24,25,0,0
DL42,Dave's Ledge,42,3,AP13-X5,11,0,1,A,5.665,A,52.218452,6.892948,14.753287,7.860339,A,67.587631,8.449743,20.419083,11.96934,A,87.159241,19.154488,31.487194,12.332706,A,133.266968,21.881954,49.27882,27.396866,0,24,25,0,0
DL43,Dave's Ledge,43,3,AP13-X9,11,0,1,A,5.223,A,NA,NA,NA,NA,A,NA,NA,NA,NA,A,54.348583,8.417197,15.496212,7.079015,A,82.161644,5.537011,15.15554,9.618529,0,24,25,0,0
DL44,Dave's Ledge,44,3,AP13-XK,13,0,0,A,8.238,A,NA,NA,NA,NA,A,39.588593,2.55099,4.123741,1.572751,A,52.220543,4.027331,5.04236,1.015029,A,88.909149,3.030362,6.056374,3.026012,0,24,25,0,0
DL45,Dave's Ledge,45,3,AP14-5,13,0,1,A,8.253,A,75.45636,9.270876,16.852367,7.581491,A,89.742302,12.511322,23.206944,10.695622,A,96.012482,16.409939,28.245247,11.835308,A,159.349686,23.36657,44.262218,20.895648,0,24,25,0,0
EDR31,Eastern Dry Rocks,31,1,AP13-X7,3,1,1,A,6.466,A,93.066521,19.090046,30.051435,10.961389,A,128.07811,28.690796,46.245792,17.554996,A,220.360565,59.524227,109.465691,49.941464,A,357.502838,100.698692,210.669373,109.970681,0,24,25,0,0
